TABLE NO.  1
 NUM         IPRED       NPDE        CWRES       DV          PRED        RES         WRES
  7.3000E+01  2.3780E+01 -1.2566E-01 -2.6519E-01  2.4229E+01  3.5008E+01 -1.0779E+01 -2.7618E-01
  7.4000E+01  2.0420E+01  4.1246E-01  6.2780E-01  2.4305E+01  2.9414E+01 -5.1094E+00  3.0307E-01
  7.5000E+01  1.5718E+01 -1.6789E-01 -2.0285E-01  1.5982E+01  2.2075E+01 -6.0934E+00 -2.9624E-01
  7.6000E+01  1.0137E+01 -1.2566E-01 -1.2661E-01  1.0436E+01  1.4296E+01 -3.8603E+00 -2.4004E-01
  8.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.2000E+01  8.2603E+01 -9.2039E-02 -1.0574E-01  8.3125E+01  8.7277E+01 -4.1524E+00 -1.0497E-01
  8.3000E+01  1.2162E+02 -7.6098E-01 -8.8362E-01  1.0364E+02  1.2595E+02 -2.2310E+01 -8.3571E-01
  8.4000E+01  1.2767E+02  5.8284E-01  4.1415E-01  1.4186E+02  1.3132E+02  1.0540E+01  3.8948E-01
  8.5000E+01  1.2840E+02  3.4956E-01  2.4410E-01  1.3825E+02  1.3093E+02  7.3247E+00  2.3317E-01
  8.6000E+01  1.1953E+02  8.5359E-01  6.8969E-01  1.3940E+02  1.2130E+02  1.8102E+01  6.6260E-01
  8.7000E+01  1.1074E+02 -6.6404E-01 -6.4492E-01  9.9718E+01  1.1233E+02 -1.2612E+01 -6.1246E-01
  8.8000E+01  9.8608E+01  1.1724E-01  6.7847E-02  1.0298E+02  1.0016E+02  2.8219E+00  6.9743E-02
  8.9000E+01  8.9821E+01  6.3310E-01  4.0725E-01  1.0000E+02  9.1398E+01  8.6024E+00  3.9424E-01
  9.0000E+01  7.3693E+01  6.8502E-01  6.3163E-01  8.5519E+01  7.5328E+01  1.0191E+01  6.0624E-01
  9.1000E+01  5.3929E+01 -1.5834E+00 -1.4659E+00  4.0157E+01  5.5578E+01 -1.5421E+01 -1.3892E+00
  9.2000E+01  3.3486E+01  3.9434E-01  4.9285E-01  3.8225E+01  3.5015E+01  3.2103E+00  4.4763E-01
  9.3000E+01  2.8164E+01 -1.9337E-01 -2.0670E-01  2.8283E+01  2.9620E+01 -1.3370E+00 -1.9966E-01
  9.4000E+01  1.4858E+01 -6.7449E-01 -5.3395E-01  1.4083E+01  1.5977E+01 -1.8941E+00 -4.8169E-01
  9.7000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.8000E+01  1.4229E+02  1.4279E+00  1.4985E+00  1.7973E+02  1.2118E+02  5.8547E+01  1.6860E+00
  9.9000E+01  1.8763E+02  3.6738E-01  1.4539E-01  1.8866E+02  1.6941E+02  1.9247E+01  1.5277E-01
  1.0000E+02  1.9207E+02 -6.8502E-01 -7.4154E-01  1.6041E+02  1.7708E+02 -1.6671E+01 -7.8627E-01
  1.0100E+02  1.8715E+02  1.3409E-01 -1.1488E-01  1.8114E+02  1.7691E+02  4.2299E+00 -1.1939E-01
  1.0200E+02  1.6913E+02  7.7219E-01  7.1996E-01  1.9219E+02  1.6249E+02  2.9702E+01  7.2768E-01
  1.0300E+02  1.5404E+02 -1.0364E+00 -8.4543E-01  1.2646E+02  1.4851E+02 -2.2046E+01 -8.4924E-01
  1.0400E+02  1.3906E+02 -2.1043E-01 -2.1851E-01  1.3103E+02  1.3411E+02 -3.0773E+00 -2.1677E-01
  1.0500E+02  1.2629E+02  5.1484E-01  4.2681E-01  1.3476E+02  1.2168E+02  1.3079E+01  4.3612E-01
  1.0600E+02  1.0426E+02  4.8642E-01  3.0816E-01  1.0785E+02  1.0011E+02  7.7397E+00  3.1919E-01
  1.0700E+02  7.6220E+01  1.7908E+00  1.6795E+00  9.8623E+01  7.2554E+01  2.6069E+01  1.7304E+00
  1.0800E+02  4.9237E+01 -9.9446E-01 -8.5852E-01  3.7920E+01  4.5918E+01 -7.9977E+00 -8.7768E-01
  1.0900E+02  4.2563E+01 -1.1585E+00 -9.8696E-01  3.1531E+01  3.9333E+01 -7.8019E+00 -1.0124E+00
  1.1000E+02  2.4016E+01  0.0000E+00  8.2864E-02  2.2702E+01  2.1364E+01  1.3378E+00  1.0119E-01
  1.1100E+02  1.4685E+01  1.4514E+00  1.8420E+00  1.8999E+01  1.2672E+01  6.3272E+00  1.9171E+00
  1.1300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1400E+02  1.2362E+02  1.9337E-01  2.1609E-01  1.2952E+02  1.3758E+02 -8.0551E+00  1.6104E-01
  1.1500E+02  1.3047E+02  3.9434E-01  4.4316E-01  1.4804E+02  1.6810E+02 -2.0056E+01  2.2047E-01
  1.1600E+02  1.2560E+02  0.0000E+00 -4.3238E-02  1.3254E+02  1.7809E+02 -4.5550E+01 -1.6801E-01
  1.1700E+02  1.1929E+02 -2.4747E+00 -2.8967E+00  5.8317E+01  1.7625E+02 -1.1793E+02 -2.0277E+00
  1.1800E+02  1.0517E+02 -1.2816E+00 -1.6284E+00  7.8073E+01  1.6065E+02 -8.2581E+01 -1.1009E+00
  1.1900E+02  9.3953E+01 -6.2293E-01 -9.8130E-01  8.1808E+01  1.4437E+02 -6.2559E+01 -6.6844E-01
  1.2000E+02  8.3494E+01  1.2265E+00  2.2751E+00  1.2699E+02  1.2846E+02 -1.4688E+00  1.3814E+00
  1.2100E+02  7.5113E+01 -1.0083E+00 -1.4405E+00  5.8464E+01  1.1569E+02 -5.7224E+01 -9.8275E-01
  1.2200E+02  6.0579E+01 -6.3310E-01 -6.0471E-01  5.7314E+01  9.3861E+01 -3.6547E+01 -4.9747E-01
  1.2300E+02  4.1363E+01 -3.1425E-01 -3.9445E-01  4.0970E+01  6.5951E+01 -2.4981E+01 -4.2498E-01
  1.2400E+02  2.2396E+01 -3.2304E-01 -2.4424E-01  2.2837E+01  3.9709E+01 -1.6872E+01 -3.1490E-01
  1.2500E+02  1.7718E+01 -2.8802E-01 -4.6588E-01  1.7218E+01  3.3340E+01 -1.6122E+01 -3.7409E-01
  1.2900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3000E+02  9.5333E+01  1.5548E+00  1.6019E+00  1.2299E+02  9.2357E+01  3.0633E+01  1.6021E+00
  1.3100E+02  1.1289E+02 -1.9322E+00 -1.8244E+00  7.1372E+01  1.1555E+02 -4.4182E+01 -1.7311E+00
  1.3200E+02  1.1594E+02  6.5366E-01  5.0415E-01  1.2953E+02  1.2400E+02  5.5346E+00  4.5428E-01
  1.3300E+02  1.1300E+02  2.1043E-01  9.7922E-03  1.1571E+02  1.2282E+02 -7.1056E+00  1.2314E-04
  1.3400E+02  1.0297E+02 -4.1789E-02  2.2415E-02  1.0571E+02  1.1305E+02 -7.3439E+00  1.0463E-02
  1.3500E+02  9.3625E+01 -1.2265E+00 -1.3120E+00  7.0693E+01  1.0234E+02 -3.1645E+01 -1.1711E+00
  1.3600E+02  8.5987E+01 -6.6893E-02 -3.8300E-02  8.6396E+01  9.3317E+01 -6.9210E+00 -3.8670E-02
  1.3700E+02  7.8670E+01  6.6893E-02 -7.8482E-02  7.8027E+01  8.4667E+01 -6.6400E+00 -7.4214E-02
  1.3800E+02  6.6481E+01 -2.0189E-01 -1.8925E-01  6.3914E+01  7.0429E+01 -6.5148E+00 -1.7727E-01
  1.3900E+02  4.8381E+01  7.8350E-01  7.4457E-01  5.4980E+01  4.9929E+01  5.0508E+00  6.9821E-01
  1.4000E+02  3.0873E+01  1.0083E+00  8.7082E-01  3.5656E+01  3.1172E+01  4.4844E+00  8.2806E-01
  1.4100E+02  2.6184E+01 -3.1425E-01 -4.1524E-01  2.3520E+01  2.6387E+01 -2.8670E+00 -3.9438E-01
  1.4200E+02  1.3600E+01  7.3885E-01  8.7375E-01  1.5871E+01  1.3818E+01  2.0530E+00  8.0744E-01
  1.4500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4600E+02  9.8319E+01  7.0630E-01  5.8861E-01  1.1190E+02  9.3489E+01  1.8411E+01  6.2025E-01
  1.4700E+02  1.3344E+02  1.8487E-01 -6.3479E-03  1.3308E+02  1.1757E+02  1.5512E+01 -2.2179E-02
  1.4800E+02  1.4462E+02  2.6198E-01  1.1582E-01  1.4562E+02  1.2222E+02  2.3399E+01  1.0688E-01
  1.4900E+02  1.4849E+02 -5.3401E-01 -4.4339E-01  1.3095E+02  1.2119E+02  9.7648E+00 -5.5999E-01
  1.5000E+02  1.4192E+02  1.5548E+00  1.4078E+00  1.7563E+02  1.1164E+02  6.3990E+01  1.7034E+00
  1.5100E+02  1.3113E+02  7.0630E-01  5.8618E-01  1.4028E+02  1.0208E+02  3.8200E+01  6.9944E-01
  1.5200E+02  1.1830E+02 -7.2791E-01 -4.5596E-01  1.0198E+02  9.1975E+01  1.0005E+01 -6.0421E-01
  1.5300E+02  1.0729E+02  1.0222E+00  7.7841E-01  1.1918E+02  8.3641E+01  3.5539E+01  9.2962E-01
  1.5400E+02  8.7823E+01  1.8487E-01  2.5409E-01  8.8820E+01  6.8991E+01  1.9829E+01  2.5083E-01
  1.5500E+02  6.2037E+01  5.2440E-01  3.7140E-01  6.4638E+01  4.8908E+01  1.5730E+01  3.4960E-01
  1.5600E+02  3.9409E+01  1.4514E+00  1.3661E+00  4.9214E+01  2.9893E+01  1.9321E+01  1.6014E+00
  1.5700E+02  3.4071E+01  6.8502E-01  5.2074E-01  3.6910E+01  2.5119E+01  1.1791E+01  5.5549E-01
  1.5800E+02  2.0318E+01 -8.1804E-01 -3.1684E-01  1.8914E+01  1.3097E+01  5.8167E+00 -4.3857E-01
  1.6100E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6200E+02  2.9066E+02  2.0189E-01  2.1092E-01  3.0860E+02  2.6696E+02  4.1636E+01  2.5673E-01
  1.6300E+02  4.1980E+02  7.0630E-01  4.9965E-01  4.5953E+02  3.5931E+02  1.0022E+02  5.5437E-01
  1.6400E+02  4.4329E+02  6.3310E-01  4.6864E-01  4.7872E+02  3.7133E+02  1.0739E+02  5.1865E-01
  1.6500E+02  4.6052E+02  3.2304E-01  1.6215E-01  4.6283E+02  3.7285E+02  8.9983E+01  1.5176E-01
  1.6600E+02  4.4005E+02  6.2293E-01  4.3604E-01  4.6234E+02  3.4779E+02  1.1455E+02  4.8326E-01
  1.6700E+02  3.9672E+02  2.1898E-01  1.9700E-01  3.9784E+02  3.1245E+02  8.5393E+01  1.8693E-01
  1.6800E+02  3.5458E+02  2.6198E-01  2.3501E-01  3.5965E+02  2.8102E+02  7.8630E+01  2.2637E-01
  1.6900E+02  3.1939E+02  7.2791E-01  6.8701E-01  3.5421E+02  2.5524E+02  9.8970E+01  7.6705E-01
  1.7000E+02  2.6346E+02 -6.7449E-01 -4.9410E-01  2.3200E+02  2.1376E+02  1.8240E+01 -6.8503E-01
  1.7100E+02  1.8840E+02  2.1280E+00  2.1903E+00  2.6884E+02  1.5519E+02  1.1365E+02  2.4734E+00
  1.7200E+02  1.2320E+02  3.4069E-01  1.8885E-01  1.2774E+02  9.9115E+01  2.8625E+01  1.0150E-01
  1.7300E+02  1.0739E+02  1.5274E+00  1.3893E+00  1.3750E+02  8.4410E+01  5.3090E+01  1.5855E+00
  1.7400E+02  6.4942E+01  1.0043E-01  5.0717E-02  6.6631E+01  4.5660E+01  2.0971E+01  3.6749E-02
  1.7500E+02  4.2530E+01 -1.9322E+00 -1.4002E+00  3.1582E+01  2.7610E+01  3.9723E+00 -1.8386E+00
  1.7600E+02  2.7870E+01 -3.6738E-01 -1.7111E-01  2.7608E+01  1.6751E+01  1.0857E+01 -1.7717E-02
  1.7700E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7800E+02  1.9792E+02  7.7219E-01  5.8240E-01  2.1187E+02  1.8435E+02  2.7517E+01  6.6395E-01
  1.7900E+02  2.2040E+02 -1.6134E+00 -1.5760E+00  1.5055E+02  2.2922E+02 -7.8669E+01 -1.4506E+00
  1.8000E+02  2.1991E+02  1.4279E+00  1.4857E+00  2.9018E+02  2.4478E+02  4.5405E+01  1.2983E+00
  1.8100E+02  2.1223E+02 -7.8350E-01 -8.5575E-01  1.8352E+02  2.4671E+02 -6.3188E+01 -7.3007E-01
  1.8200E+02  1.9196E+02 -7.7219E-01 -7.5752E-01  1.7179E+02  2.3269E+02 -6.0895E+01 -6.1966E-01
  1.8300E+02  1.7186E+02  3.0548E-01  3.8084E-01  1.9376E+02  2.1200E+02 -1.8242E+01  2.8896E-01
  1.8400E+02  1.5642E+02 -9.2814E-01 -9.8166E-01  1.3428E+02  1.9486E+02 -6.0578E+01 -7.8187E-01
  1.8500E+02  1.4046E+02  1.2090E+00  1.5008E+00  1.9071E+02  1.7680E+02  1.3913E+01  1.1337E+00
  1.8600E+02  1.1783E+02 -4.8642E-01 -6.7622E-01  1.0919E+02  1.5100E+02 -4.1806E+01 -5.7095E-01
  1.8700E+02  8.5613E+01 -1.3008E+00 -1.5527E+00  6.4571E+01  1.1401E+02 -4.9436E+01 -1.2562E+00
  1.8800E+02  5.1132E+01 -7.3885E-01 -5.7040E-01  4.8188E+01  7.3869E+01 -2.5681E+01 -5.8360E-01
  1.8900E+02  4.2248E+01 -1.7507E+00 -2.3406E+00  2.4610E+01  6.3324E+01 -3.8714E+01 -1.7237E+00
  1.9000E+02  2.0103E+01  4.1246E-01  1.0850E+00  2.4905E+01  3.5595E+01 -1.0690E+01  4.3947E-01
  1.9100E+02  1.1378E+01 -6.6893E-02 -1.2969E-01  1.1143E+01  2.3008E+01 -1.1865E+01 -4.4194E-02
  1.9300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9400E+02  1.0999E+02 -1.9337E-01 -9.8857E-02  1.1940E+02  1.6691E+02 -4.7505E+01 -2.3018E-01
  1.9500E+02  1.5843E+02 -1.4514E+00 -1.8178E+00  1.1829E+02  2.3489E+02 -1.1660E+02 -1.3165E+00
  1.9600E+02  1.6926E+02 -2.3613E-01 -4.5826E-01  1.7144E+02  2.4780E+02 -7.6359E+01 -4.0734E-01
  1.9700E+02  1.7400E+02 -7.4987E-01 -1.1800E+00  1.4903E+02  2.4937E+02 -1.0034E+02 -8.7721E-01
  1.9800E+02  1.6789E+02 -8.1804E-01 -9.3880E-01  1.4938E+02  2.3419E+02 -8.4814E+01 -7.1393E-01
  1.9900E+02  1.5861E+02  6.0276E-01  1.1901E+00  2.0681E+02  2.1603E+02 -9.2217E+00  7.9098E-01
  2.0000E+02  1.4942E+02 -1.1750E+00 -1.3151E+00  1.1865E+02  1.9913E+02 -8.0477E+01 -1.0171E+00
  2.0100E+02  1.3991E+02  6.7449E-01  9.2609E-01  1.7253E+02  1.8227E+02 -9.7398E+00  6.3245E-01
  2.0200E+02  1.2354E+02 -4.1246E-01 -4.4341E-01  1.1673E+02  1.5457E+02 -3.7840E+01 -4.1228E-01
  2.0300E+02  9.9405E+01 -7.4987E-01 -5.8754E-01  8.9032E+01  1.1698E+02 -2.7944E+01 -5.5689E-01
  2.0400E+02  6.9355E+01  7.0630E-01  5.4626E-01  7.6325E+01  7.6605E+01 -2.7991E-01  4.5933E-01
  2.0500E+02  5.9874E+01 -1.4279E+00 -1.5134E+00  4.0937E+01  6.5549E+01 -2.4612E+01 -1.3257E+00
  2.0600E+02  3.3278E+01  8.4162E-01  8.6349E-01  3.8318E+01  3.7413E+01  9.0524E-01  8.4438E-01
  2.0700E+02  2.1409E+01  5.6315E-01  5.0775E-01  2.3145E+01  2.4409E+01 -1.2637E+00  5.7701E-01
  2.0900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1000E+02  2.1989E+02  2.1043E-01  3.0142E-01  2.4218E+02  2.5281E+02 -1.0631E+01  2.3748E-01
  2.1100E+02  2.6651E+02  1.1724E-01 -1.0103E-01  2.7510E+02  3.2647E+02 -5.1367E+01 -1.3451E-01
  2.1200E+02  2.7729E+02  1.7637E-01  2.0495E-01  3.0493E+02  3.5762E+02 -5.2694E+01  8.4593E-02
  2.1300E+02  2.7049E+02 -2.1280E+00 -2.4636E+00  1.5297E+02  3.5537E+02 -2.0240E+02 -1.8893E+00
  2.1400E+02  2.4941E+02  3.2304E-01  4.2149E-01  2.8309E+02  3.2945E+02 -4.6363E+01  2.6004E-01
  2.1500E+02  2.3121E+02  8.3555E-03  4.8618E-02  2.4356E+02  3.0278E+02 -5.9219E+01 -4.6678E-03
  2.1600E+02  2.0738E+02 -1.0222E+00 -1.1232E+00  1.6790E+02  2.6679E+02 -9.8885E+01 -8.8831E-01
  2.1700E+02  1.9275E+02 -5.5338E-01 -5.0917E-01  1.7858E+02  2.4491E+02 -6.6333E+01 -4.3297E-01
  2.1800E+02  1.6418E+02 -1.4514E+00 -1.5166E+00  1.1720E+02  2.0338E+02 -8.6179E+01 -1.2495E+00
  2.1900E+02  1.2197E+02  1.5834E+00  2.3585E+00  1.7957E+02  1.4585E+02  3.3720E+01  1.8507E+00
  2.2000E+02  7.7538E+01  1.1423E+00  1.4227E+00  9.8447E+01  9.1741E+01  6.7060E+00  1.0947E+00
  2.2100E+02  6.5652E+01 -6.9562E-01 -7.1961E-01  5.4967E+01  7.8553E+01 -2.3586E+01 -6.2967E-01
  2.2200E+02  3.2177E+01 -4.5840E-01 -6.1945E-01  2.6979E+01  4.2015E+01 -1.5036E+01 -4.4924E-01
  2.2300E+02  1.8158E+01 -1.5834E+00 -1.8547E+00  1.0416E+01  2.5085E+01 -1.4669E+01 -1.1765E+00
  2.2400E+02  1.0453E+01  9.5417E-01  1.4958E+00  1.2826E+01  1.5161E+01 -2.3349E+00  9.2971E-01
  2.2500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2600E+02  3.5246E+02  1.8808E+00  1.6021E+00  4.3358E+02  2.5163E+02  1.8195E+02  2.0359E+00
  2.2700E+02  4.2164E+02 -2.3613E-01 -2.6017E-01  3.5939E+02  2.9944E+02  5.9949E+01 -4.8368E-01
  2.2800E+02  4.4036E+02  1.8339E+00  1.5365E+00  5.3493E+02  3.1304E+02  2.2189E+02  1.9930E+00
  2.2900E+02  4.3508E+02 -4.4914E-01 -3.2407E-01  3.6918E+02  3.1072E+02  5.8457E+01 -5.3988E-01
  2.3000E+02  4.0181E+02 -4.0338E-01 -2.1913E-01  3.5500E+02  2.9186E+02  6.3143E+01 -3.7268E-01
  2.3100E+02  3.5596E+02  1.9893E+00  1.8991E+00  4.7058E+02  2.6510E+02  2.0548E+02  2.4005E+00
